Culture,Bloc,Composition,Jours,Biomasse ,RYT,NE,CE,SE,RS,DFSF,DFSLA,DFfMI,DFfALL
J20B3LmSpWcLt,3,LmSpWcLt,20,927.1,1.208787308,213.7808597,141.5891131,72.19174657,4,6.9615417,1.80818592,0.97184018,7.4952065
J40B1LmSp,1,LmSp,40,1860.6,0.952776452,-57.02009073,-89.46265114,32.4425604,2,7.2839899,0.28288212,1.07280096,7.3680007
J40B1LmWc,1,LmWc,40,1888.1,0.906542929,-192.2999797,-194.3860348,2.086055119,2,5.3846369,2.58189671,0.64981868,6.0068935
J40B1LmLt,1,LmLt,40,2139.1,1.498453247,891.4395256,548.6724118,342.7671138,2,0.1523039,0.36884081,0.09778742,0.4108557
J40B1SpWc,1,SpWc,40,1804.8,0.966230616,-93.56100298,-63.68905776,-29.87194522,2,12.7326103,2.29203853,1.73227375,13.052723
J40B1SpLt,1,SpLt,40,1594.3,1.412133842,663.8373926,373.7229681,290.1144246,2,7.2272706,0.09012841,0.98745489,7.2949729
J40B1WcLt,1,WcLt,40,2006.1,1.265172856,819.5442222,289.6483101,529.895912,2,5.5042232,2.19155687,0.74470203,5.971095
J40B1LmSpWc,1,LmSpWc,40,1645.5,0.830289868,-320.3571302,-331.523086,11.16595572,3,8.3289134,2.14947434,1.17084623,8.9875593
J40B1LmSpLt,1,LmSpLt,40,1817.4,1.191041789,395.7309419,248.4816873,147.2492546,3,6.4106125,0.31593763,0.91686287,6.4869875
J40B1LmWcLt,1,LmWcLt,40,1973.2,1.190089311,420.4467809,270.7505414,149.6962396,3,4.8859069,2.17910526,0.61904174,5.3993437
J40B1SpWcLt,1,SpWcLt,40,1674,1.084655815,299.5368816,109.6321027,189.9047789,3,9.3119698,2.09839988,1.26856691,9.8185073
J40B1LmSpWcLt,1,LmSpWcLt,40,2102.8,1.349293561,530.8507401,521.6262713,9.224468785,4,6.9615417,1.80818592,0.97184018,7.4952065
J40B2LmSp,2,LmSp,40,1889.5,1.026015742,78.76208684,46.58508927,32.17699758,2,7.2839899,0.28288212,1.07280096,7.3680007
J40B2LmWc,2,LmWc,40,2038.9,1.015664672,29.68567073,31.51810251,-1.832431778,2,5.3846369,2.58189671,0.64981868,6.0068935
J40B2LmLt,2,LmLt,40,1946.8,1.638739532,783.0698293,654.5802726,128.4895567,2,0.1523039,0.36884081,0.09778742,0.4108557
J40B2SpWc,2,SpWc,40,1719.4,0.909992934,-139.2532402,-165.9640288,26.71078862,2,12.7326103,2.29203853,1.73227375,13.052723
J40B2SpLt,2,SpLt,40,1745.6,1.610270358,866.1176857,522.7881025,343.3295832,2,7.2272706,0.09012841,0.98745489,7.2949729
J40B2WcLt,2,WcLt,40,2028.1,1.497430408,855.0193457,250.7316581,604.2876876,2,5.5042232,2.19155687,0.74470203,5.971095
