Culture;Block;Mixture;Days;Initial_biomass;Final_biomass
J60B2LmSp;2;LmSp;60;77.15;3071.7
J60B2LmWc;2;LmWc;60;82;3144.1
J60B2LmLt;2;LmLt;60;75.18333333;3055.4
J60B2SpWc;2;SpWc;60;72.78333333;2652.2
J60B2SpLt;2;SpLt;60;65.96666667;2688.1
J60B2WcLt;2;WcLt;60;70.81666667;3143.6
J60B2LmSpWc;2;LmSpWc;60;80.36801587;2986.4
J60B2LmSpLt;2;LmSpLt;60;75.06166667;2758.8
J60B2LmWcLt;2;LmWcLt;60;76.67753968;3230.8
J60B2SpWcLt;2;SpWcLt;60;70.71111111;2475.4
J60B2LmSpWcLt;2;LmSpWcLt;60;76.40952381;2799.3
J60B3Lm;3;Lm;60;86.36666667;3041
J60B3Sp;3;Sp;60;67.93333333;2510
J60B3Wc;3;Wc;60;77.63333333;3476.1
J60B3Lt;3;Lt;60;64;104.6
J60B3LmSp;3;LmSp;60;77.15;2658.2
J60B3LmWc;3;LmWc;60;82;2659
J60B3LmLt;3;LmLt;60;75.18333333;2851.4
J60B3SpWc;3;SpWc;60;72.78333333;2449.5
J60B3SpLt;3;SpLt;60;65.96666667;2326.7
J60B3WcLt;3;WcLt;60;70.81666667;2977.6
J60B3LmSpWc;3;LmSpWc;60;80.36801587;2912.3
J60B3LmSpLt;3;LmSpLt;60;75.06166667;2962.4
J60B3LmWcLt;3;LmWcLt;60;76.67753968;2808.8
J60B3SpWcLt;3;SpWcLt;60;70.71111111;2501.7
J60B3LmSpWcLt;3;LmSpWcLt;60;76.40952381;2456.1
